depth_cm,min,max,median,mean,herbs_pc
9,193,941,664,646,13
27,703,2172,1345,1378,10
49,1297,3128,2217,2216,10
67,1971,3675,2905,2888,8
87,2919,4151,3708,3662,15
108,4017,4979,4405,4429,13
115,4197,5324,4668,4691,19
125,4442,5730,5062,5068,13
146,5225,6300,5868,5837,17
153,5618,6448,6112,6088,24
166,6202,6847,6503,6512,11
176,6395,7242,6786,6794,11
186,6654,7481,7085,7082,26
196,7026,7686,7375,7370,16
234,7899,9097,8431,8451,18
254,8359,9705,9018,9018,24
275,8956,10213,9624,9614,17
285,9301,10442,9909,9896,0
295,9697,10660,10180,10178,23
335,10901,12090,11489,11489,8
378,12213,13595,12840,12858,14
416,13058,14901,13936,13951,8
459,14186,16128,15193,15181,24
495,15369,16984,16248,16227,11
535,16620,17812,17296,17273,19
556,17054,18235,17696,17681,2
576,17495,18611,18082,18077,16
596,17959,18985,18477,18475,4
616,18262,19531,18864,18872,22
637,18570,20120,19265,19288,13
654,18834,20507,19599,19619,21
675,19159,21006,20009,20026,6
695,19493,21431,20404,20419,20
715,19822,21895,20804,20814,14
733,20124,22324,21165,21173,19
756,20531,22803,21623,21624,15
776,20916,23234,22008,22016,15
796,21252,23623,22406,22410,17
816,21646,24036,22792,22804,14
837,22015,24456,23214,23221,29
877,22787,25238,24005,24007,12
895,23127,25592,24359,24361,8
915,23519,25964,24765,24754,10
938,23994,26394,25205,25205,18
958,24406,26764,25606,25597,13
976,24753,27081,25971,25954,17
999,25260,27497,26431,26413,18
1016,25624,27783,26759,26745,9
1034,26013,28096,27116,27099,16
1057,26512,28489,27567,27551,15
1072,26862,28742,27858,27842,18
1097,27409,29135,28351,28333,16
1115,27863,29422,28704,28689,21
1138,28434,29750,29146,29140,10
1158,28875,30159,29534,29532,23
1173,29118,30628,29827,29834,19
