depth_cm,min,max,median,mean,grass_drylandpc,montane_drylandpc
2,-36,750,218,253,5,0
6,178,2030,826,891,5,4
9,432,2280,1399,1387,7,3
13,1352,2621,2062,2052,6,0
17,2392,2955,2680,2672,1,3
20,2607,3974,3036,3103,0,4
25,2903,5207,3671,3778,0,2
29,3195,5866,4232,4308,2,4
33,3527,6503,4741,4814,2,4
38,3965,7238,5392,5442,0,10
41,4252,7644,5773,5828,7,5
45,4610,8188,6334,6358,0,1
50,5142,8792,7000,6999,0,3
55,5805,9460,7707,7689,2,0
57,6105,9648,7980,7943,6,2
61,6545,10088,8484,8455,1,0
64,7023,10418,8895,8849,1,2
69,7805,10877,9572,9510,0,0
77,9139,11435,10600,10522,1,4
81,9979,11699,11103,11030,0,2
85,11250,11919,11547,11556,2,3
90,11503,13342,12067,12157,2,12
94,11751,13964,12533,12616,3,6
98,12010,14543,13004,13078,0,8
102,12273,15121,13502,13550,1,10
106,12602,15793,13987,14031,1,13
109,12872,16141,14354,14390,1,15
114,13370,16849,14928,14984,5,15
118,13743,17391,15391,15448,1,9
122,14159,17839,15888,15926,3,14
126,14679,18252,16413,16426,3,19
129,15086,18550,16810,16815,1,19
134,15653,19073,17450,17430,1,20
137,16028,19357,17829,17792,1,17
142,16681,19791,18455,18397,1,15
146,17290,20109,18951,18879,1,17
150,17794,20417,19434,19354,1,19
153,18357,20551,19791,19712,1,21
158,19685,20846,20356,20328,3,22
161,20309,21078,20686,20686,3,15
166,20625,22096,21168,21217,0,27
170,20804,22821,21567,21633,3,12
174,21065,23367,21982,22047,1,20
178,21364,23898,22427,22486,3,14
181,21593,24309,22764,22814,2,14
186,22021,24833,23312,23346,3,15
190,22360,25257,23762,23784,2,10
193,22684,25498,24092,24097,2,13
198,23165,25988,24630,24610,1,10
202,23598,26338,25044,25025,0,12
206,24016,26674,25476,25443,5,11
210,24434,26962,25886,25844,2,9
214,24969,27181,26304,26240,1,14
218,25589,27415,26702,26648,3,12
222,26314,27654,27085,27055,3,14
226,26994,27930,27453,27456,2,13
230,27268,28658,27816,27858,1,10
233,27484,28922,28127,28154,0,13
238,27840,29470,28635,28642,1,13
242,28201,29818,29047,29029,5,19
245,28411,30097,29353,29319,3,19
249,29020,30309,29734,29718,1,18
254,29816,30731,30215,30233,2,13
257,30041,31199,30524,30549,2,10
261,30240,32102,30904,30974,1,12
266,30528,32894,31444,31503,6,14
269,30739,33334,31759,31819,3,13
273,31024,33855,32193,32245,2,14
278,31409,34480,32735,32778,1,12
281,31650,34836,33050,33100,3,10
286,32092,35404,33604,33641,3,12
290,32427,35869,34039,34072,5,7
293,32749,36157,34378,34392,1,10
298,33255,36662,34924,34928,3,3
302,33683,37095,35365,35361,4,9
306,34075,37516,35815,35795,7,9
309,34387,37777,36136,36113,1,7
314,34986,38225,36650,36651,1,10
317,35427,38467,36986,36974,1,7
322,36101,38878,37515,37512,0,15
326,36502,39269,37937,37940,2,14
330,36824,39992,38341,38354,2,10
334,37115,40550,38747,38751,1,14
338,37422,41161,39150,39165,1,17
342,37682,41718,39538,39574,1,12
