depth_cm,min,max,median,mean,montane_drylandpc,lowland_drylandpc,grass_woodland_drylandpc
32,154,465,299,302,25.66579256,63.88841304,10.4457944
113,1043,1654,1329,1331,21.33482425,71.42857143,7.236604319
218,2339,3074,2688,2692,7.209858973,77.84534437,14.94479665
411,5731,6412,6071,6070,25.3467117,71.72958474,2.923703557
511,7692,8512,8085,8091,16.49188504,67.70052309,15.80759188
561,8670,9686,9189,9184,38.3018785,50.19415057,11.50397093
586,9199,10200,9736,9725,20.51731845,61.78050652,17.70217503
619,9923,10788,10396,10381,19.2339472,70.47965829,10.28639451
627,10079,10921,10526,10514,27.09981274,51.15269714,21.74749012
661,10561,11568,11028,11027,23.97728246,56.25226484,19.7704527
677,10817,11945,11336,11346,20.74575173,47.9693924,31.28485587
698,11157,12455,11744,11760,19.39705233,52.15840872,28.44453896
716,11450,12877,12100,12121,25.93289507,39.33165015,34.73545478
723,11556,13061,12244,12262,18.54746418,56.69910826,24.75342756
746,11970,13588,12704,12723,31.21326628,49.57129265,19.21544108
760,12205,13925,12979,13001,30.76737529,53.95533829,15.27728642
