depth,min,max,median,wmean,montane_drylandpc,lowland_pc,grass_woodland_pc
13,34.3,542.5,214.2,237.7,39.1606448,32.84400424,27.99535095
42,471.1,1326.3,863.3,875.2,45.13745704,38.09032892,16.77221404
83,1288.6,2252.1,1771,1773.5,41.49443941,37.50178989,21.0037707
121,2186.8,3007.4,2603,2600.2,50.78829755,35.11282937,14.09887308
163,3028.2,4202.2,3571.1,3587.9,51.52419382,37.50296701,10.97283917
206,3920.4,5398.8,4610,4629.1,52.13718354,25.7790293,22.08378716
248,4828.6,6462.8,5616.1,5635,53.36885144,32.20914385,14.42200471
289,5766.9,7472.2,6610.2,6618.7,61.2557005,25.10128328,13.64301623
329,6712.7,8408,7578.6,7583,58.43110304,27.61769182,13.95120514
379,8000.8,9510.8,8785.3,8785.6,51.78951797,35.20919347,13.00128856
422,9173,10385.2,9830.1,9822.6,57.32060332,34.48021939,8.199177289
450,9774.7,11057,10438.8,10429.3,48.93970488,28.90403596,22.15625916
490,10442.8,12061.1,11233.7,11246.5,40.06372212,38.77990879,21.15636909
528,11106.2,12968.5,12006,12021.4,44.08289498,42.56033412,13.3567709
561,11687.1,13756.1,12667.2,12690.8,45.03184631,33.33074945,21.63740423
600,12388.1,14637.8,13452.6,13478.5,37.66122787,36.78265282,25.55611932
641,13118.3,15559.2,14275,14308.6,46.36300458,35.95876527,17.67823015
683,13883.6,16518.3,15136.8,15166.4,32.8056038,33.69685925,33.49753695
734,14820.2,17666.9,16177.5,16204.9,33.43494527,40.31869198,26.24636275
771,15511.5,18478,16922.8,16956.9,40.55629078,25.68085255,33.76285668
