depth_cm,min,max,median,mean,montane_drylandpc,lowland_drylandpc,grassland_drylandpc,woodland_drylandpc
1,-18,362,160,166,15.32244243,20.33159837,31.74179348,32.60416573
13,1410,4088,2658,2699,21.85870609,16.96195801,17.95074094,43.22859495
49,5100,9466,6751,6879,27.02245212,20.75080984,27.6686057,24.55813234
70,6271,11782,8626,8736,22.12914289,25.43127278,29.31061948,23.12896485
90,7682,13767,10432,10508,26.42128809,20.71289545,28.06263254,24.80318392
111,9343,15596,12326,12351,23.43087306,19.42792108,29.6513644,27.48984146
149,12587,18709,15800,15753,9.60671625,23.32751108,31.96510405,35.10066862
172,14788,20376,17856,17791,13.4582878,16.81853561,54.79153727,14.93163932
188,16447,21420,19330,19221,12.78844677,8.304655093,68.90536181,10.00153633
210,18957,22745,21291,21167,8.594909862,13.06544463,53.83351007,24.50613543
231,21980,24139,23038,23053,8.201925046,7.789977788,65.94306779,18.06502938
249,22926,26970,24531,24642,7.212160931,20.77252601,52.0220265,19.99328655
261,23607,28491,25607,25721,11.86379928,14.33769674,58.96135266,14.83715132
281,24854,30681,27390,27497,13.8088221,13.40803835,55.67817469,17.10496486
300,26178,32697,29118,29211,14.35475183,19.29280492,46.19392074,20.15852251
328,28350,35310,31658,31711,19.89510769,14.73376571,38.12314837,27.24797822
350,30184,37398,33643,33694,9.661464857,21.00388721,41.63602421,27.69862372
367,31644,38793,35175,35193,11.51222745,22.30519323,37.91802033,28.26455899
389,33632,40548,37162,37161,5.73428214,15.46840788,56.65389428,22.1434157
410,35451,42328,39080,39043,9.176097569,18.59077995,47.65260795,24.58051453
431,37014,45236,41040,41036,7.93946916,18.79447113,49.46769556,23.79836416
451,38558,47899,42885,42971,26.10902227,8.896161166,45.72869764,19.26611892
472,40077,50556,44878,44983,9.924248402,17.9681212,37.38025724,34.72737316
490,41460,52753,46527,46693,12.71918368,21.31800908,20.93040892,45.03239832
508,42881,54937,48215,48424,15.15930714,29.74824096,27.95686357,27.13558833
527,44368,57200,50032,50257,19.49921394,25.98830735,27.87239617,26.64008254
549,46069,59793,52134,52362,8.554641598,23.06462985,36.75675676,31.6239718
567,47523,61811,53910,54151,13.90222389,32.49654591,27.1081657,26.4930645
598,50045,65580,56972,57249,8.786803259,31.91175284,19.8499637,39.4514802
629,52676,69250,60104,60348,14.92519869,26.16487455,29.57145083,29.33847592
648,54368,71516,62030,62292,13.65433326,20.87130807,34.48303072,30.99132795
668,56039,73868,64030,64288,12.13300428,33.98525441,28.11487014,25.76687117
686,57754,75907,65837,66099,16.62891328,20.23083497,29.57956837,33.56068338
707,59638,78370,67952,68182,12.11043879,20.93800768,40.61403715,26.33751638
720,60692,79839,69273,69477,8.833759591,31.56947997,23.7254902,35.87127025
739,62327,82003,71194,71386,10.48779098,27.52912823,33.33360474,28.64947606
759,64047,84008,73201,73383,12.02023277,14.90215363,48.29637262,24.78124097
779,65870,86304,75234,75413,8.94205548,25.77617042,33.27239488,32.00937922
797,67376,88310,77032,77219,5.736267466,28.06714132,30.11176751,36.0848237
817,69178,90540,79003,79200,20.29479451,27.65669419,32.23548523,19.81302606
840,71133,93296,81239,81491,8.674609384,31.72596817,17.25403522,42.34538723
869,73683,96588,84101,84372,12.83219499,21.17960749,40.51597819,25.47221933
