depth,min,max,median,mean,montane_drylandpc,lowland_drylandpc,grassland_drylandpc
13,742,4399,2172,2270,4.751036483,23.42697837,48.80545045
16,1065,5151,2720,2814,9.259964721,26.90371094,43.80833285
23,1969,6488,4045,4090,2.096343835,21.27507369,46.33335115
34,3654,8403,6086,6075,12.95856991,9.928914726,49.88097636
44,5477,9831,7928,7850,23.61047491,13.16933612,28.12512131
53,7584,10888,9556,9470,9.868066719,20.56703765,38.06166206
62,10522,12038,11180,11208,10.75305778,16.47045344,54.35576998
71,11861,16177,13528,13671,5.171605148,15.03625519,59.42406747
84,14788,19944,17599,17538,11.70365054,5.669633526,68.70639919
92,17798,21345,19956,19849,10.35075786,3.778492313,77.11301081
102,21347,24010,22446,22510,16.00507332,1.566737086,71.81040419
110,22163,27341,24097,24274,5.294947121,7.657657658,72.52173913
122,23977,30529,26759,26887,6.227666594,6.783266547,71.11717451
133,25847,33311,29229,29327,12.02132195,11.71424368,59.65127377
142,27511,35487,31259,31317,7.055253078,7.843716729,73.20019247
153,29630,37827,33736,33752,18.29530065,11.71348919,55.31294444
164,31889,40080,36233,36173,19.84619324,8.350055614,61.53875556
175,34271,42265,38741,38592,17.54505681,9.866096844,63.00272174
183,35988,43910,40502,40292,16.0141443,13.3036668,45.673609
194,37706,46821,42503,42415,23.39625915,6.57507128,60.31650886
203,39235,49099,44180,44151,28.73402026,23.91682414,31.88936295
214,41098,51791,46217,46273,28.20844016,25.28041146,25.95075341
225,42871,54643,48337,48452,21.30421322,10.98807854,55.82332234
258,48264,62469,54934,55050,15.26307356,15.73009118,53.48152838
264,49285,64006,56111,56253,46.9918274,15.51299771,29.35453478
270,50252,65424,57296,57442,12.89717046,21.08685793,48.07177364
282,52293,68322,59667,59843,17.50457764,23.31923112,32.68981547
289,53469,69919,61039,61227,17.71159941,23.60122032,37.46948136
298,55025,72106,62792,63036,22.39855072,25.69444444,38.65660225
304,55995,73445,64021,64233,19.6141738,18.05621533,53.70246616
310,57156,74755,65267,65440,18.60223646,19.16498242,48.64654682
314,57808,75789,66025,66239,25.85687716,15.50752409,49.30435343
319,58693,76930,67021,67244,17.30923994,14.89806894,60.04373241
323,59381,77914,67823,68047,20.63684498,10.02289109,59.90998493
329,60504,79323,69063,69249,16.66071429,18.30201863,49.32958075
334,61370,80409,70050,70261,20.14382088,15.1161568,49.7662304
337,61966,81118,70661,70859,16.07484969,20.78488547,37.41199057
342,62781,82187,71666,71852,13.06948031,19.62872073,45.95806038
349,63925,83694,73065,73263,26.12481353,16.88708194,27.77734837
358,65595,85755,74869,75082,8.115816567,11.33315813,68.6663781
369,67492,88386,77102,77288,11.5078336,16.44788028,51.53353877
374,68363,89600,78092,78292,13.56605664,8.610608835,51.87518475
378,69016,90382,78887,79081,13.28293117,14.28626032,54.72443804
382,69796,91291,79683,79874,10.61836876,11.62406657,65.78796824
388,70887,92588,80872,81075,13.02611707,10.08756541,66.22705985
