depth,min,max,median,mean,C29_d13C,C31_d13C,C33_d13C
1,-68,12,-33,-31,-30.9,-31.3,-27.8
15,102,495,294,294,-31.5,-32.8,-29.1
30,315,908,585,594,-31.1,-32.3,-28.5
50,682,1308,994,996,-30.7,-31.3,-28
66,1052,1546,1321,1315,-31.5,-31.6,-26.7
80,1394,1757,1587,1584,-30.8,-31.2,-27.8
100,1649,2135,1888,1890,-31.4,-32.5,-29.2
120,1945,2438,2196,2195,-31.6,-33,-30
136,2242,2647,2429,2435,-31.5,-32.8,-29.2
146,2399,2841,2596,2604,-31.6,-33.1,-30
160,2586,3129,2844,2848,-31.9,-33.4,-30.9
180,2928,3467,3204,3202,-32.1,-33.8,-31.2
200,3341,3764,3542,3545,-31.9,-33.7,-30.1
210,3530,4000,3734,3743,-31.9,-33.9,-30.6
225,3767,4371,4046,4053,-31.8,-33.5,-30.9
240,4044,4674,4363,4362,-31.7,-33.2,-30.4
255,4392,4947,4681,4678,-31.7,-33.8,-31.2
265,4655,5136,4887,4889,-31.8,-33.7,-31.5
278,4879,5490,5154,5162,-31.7,-33.7,-31.3
295,5166,5876,5507,5513,-31.7,-33.6,-31.3
310,5460,6191,5832,5831,-31.8,-33.6,-31.4
320,5674,6385,6046,6040,-31.4,-33.1,-31
330,5890,6561,6257,6248,-31.5,-33.5,-30.9
345,6314,6820,6559,6560,-31.5,-33.4,-30.7
355,6545,7081,6785,6791,-31.3,-33.2,-30.3
365,6749,7362,7038,7041,-31.6,-33.3,-30.5
375,6977,7602,7298,7297,-31.6,-33.2,-30.6
385,7258,7796,7557,7550,-31.7,-33.1,-30.5
395,7598,7998,7800,7800,-31.3,-33.1,-30.1
410,7856,8402,8110,8116,-31.5,-33,-29.9
425,8167,8704,8421,8425,-31.7,-33,-29.9
440,8532,9106,8769,8785,-31.7,-32.7,-29.7
448,8698,9348,8995,9004,-31.5,-32.4,-29.4
455,8836,9570,9188,9193,-31.5,-32.5,-30
461,8989,9716,9355,9353,-31.4,-32.3,-29.6
470,9240,9934,9613,9606,-31.3,-32.1,-29.2
478,9545,10079,9837,9831,-31.5,-32.2,-28.8
490,9869,10502,10162,10166,-31.7,-32.3,-29.1
500,10064,10859,10430,10440,-31.1,-31.8,-28.9
511,10326,11173,10733,10739,-31,-32.3,-29
529,10827,11681,11232,11234,-30.8,-31,-27.9
539,11125,11929,11496,11501,-30.8,-30.9,-27.7
550,11526,12247,11808,11826,-30.4,-30.1,-26.4
560,11830,12745,12263,12271,-30.8,-29.7,-26
565,12040,12912,12503,12497,-30.5,-29.4,-25.3
570,12286,13068,12748,12729,-30.6,-29.4,-25.9
575,12642,13192,12972,12957,-30.5,-29.3,-25.7
590,13167,13706,13436,13438,-30.5,-29.3,-25.8
604,13586,14168,13854,13861,-30.7,-29.5,-26
615,13872,14573,14216,14219,-30.8,-30.2,-26.8
625,14251,14836,14551,14550,-30.8,-29.9,-26.6
630,14411,15042,14727,14725,-30.5,-29.6,-26.3
639,14801,15547,15084,15106,-30.7,-29.8,-26.6
641,14926,15729,15249,15269,-30.6,-29.7,-26.2
645,15102,16341,15713,15714,-30.7,-29.8,-26.2
648,15708,16459,16066,16068,-30.1,-29.1,-25.6
655,16254,17257,16723,16735,-29.7,-28.4,-24.7
659,16621,17458,17075,17066,-29.6,-28.1,-24.5
664,17079,17774,17439,17434,-29.9,-28.6,-24.7
667,17229,17983,17607,17606,-30.1,-28.5,-24.6
671,17395,18242,17805,17808,-30,-28.6,-24.6
681,17977,18657,18321,18321,-30.2,-28.6,-24.8
690,18371,19349,18800,18819,-30.1,-28.7,-24.8
696,18643,19709,19148,19155,-30.2,-29.1,-25
705,19039,20154,19666,19649,-30.2,-29,-25.1
711,19449,20353,20002,19974,-30.2,-29,-25.1
715,19598,20552,20186,20160,-30.2,-28.9,-24.9
720,19749,20777,20354,20333,-29.8,-28.5,-24.5
728,19967,21078,20639,20608,-29.9,-28.5,-24.5
735,20172,21333,20885,20850,-29.9,-28.6,-24.5
740,20280,21479,21025,20987,-29.5,-28.3,-24.2
744,20349,21585,21104,21071,-29.5,-28.1,-24.2
