depth_cm,min,max,median,mean,montane_pc,herb_pc
4,-53,-47,-50,-50,6.18556701,32.98969072
8,6860,10364,9219,9066,3.092783505,46.39175258
12,12524,17447,15860,15644,3.092783505,46.39175258
16,14311,17886,16818,16653,3.092783505,53.60824742
20,16862,18156,17748,17686,3.092783505,44.32989691
27,18588,23847,20298,20526,5.154639175,17.5257732
32,19521,27624,22513,22797,5.154639175,19.58762887
35,20057,29888,23904,24181,5.154639175,28.86597938
40,21528,32505,26183,26418,2.06185567,22.68041237
43,22761,33661,27628,27809,2.06185567,12.37113402
48,24546,35963,30002,30082,5.154639175,10.30927835
51,25732,37426,31387,31434,3.092783505,14.43298969
57,28355,39708,34204,34176,3.092783505,6.18556701
61,30084,41215,36077,35999,9.278350515,6.18556701
64,31546,42137,37511,37337,8.24742268,3.092783505
69,34177,43604,39765,39564,10.30927835,3.092783505
73,36818,44670,41518,41347,3.092783505,5.154639175
77,40053,45720,43204,43144,5.154639175,3.092783505
80,42565,46837,44451,44502,6.18556701,3.092783505
