depth_cm,min,max,median,mean,grass_drylandpc
0,-68,-7,-39,-39,16.20392937
8,2254,5113,3110,3286,14.69544302
14,3156,9156,5589,5732,15.83183163
21,5150,12282,8727,8728,11.92065469
28,7244,14054,11409,11176,13.92064817
35,10998,15454,14187,13902,46.18215891
39,14644,15961,15315,15319,42.59646601
49,15958,19665,17516,17586,33.77129618
59,17544,21770,19744,19727,37.27779016
64,18528,22486,20775,20712,33.53907697
71,20614,23350,22234,22157,35.79047026
76,22427,23946,23112,23136,41.53409037
78,22697,24446,23513,23527,43.78812031
87,23884,26540,25161,25173,39.28683547
97,25954,27800,26927,26905,35.35247755
107,27212,29629,28260,28306,40.24385534
114,27848,30812,29187,29214,35.57221829
117,28193,31156,29563,29590,26.30380289
127,29473,32385,30797,30837,20.08993421
138,31593,33662,32535,32560,29.84952392
141,31998,34377,33208,33201,27.15349303
148,32979,35663,34373,34357,26.01615082
157,34554,37022,35781,35774,27.70915101
167,35624,38745,37110,37131,27.98381325
169,35800,39053,37385,37398,29.84952392
177,36771,40135,38472,38464,31.86679804
184,37594,40897,39437,39386,26.30380289
191,38328,42145,40289,40285,27.15349303
194,38646,42689,40652,40655,30.87287492
203,39589,44152,41738,41762,39.86469088
210,40278,45248,42606,42650,19.4104242
220,41381,46577,43858,43897,15.83183163
228,42269,47641,44877,44891,13.92064817
237,43322,48866,45977,46019,18.36921109
240,43613,49306,46353,46391,20.42541017
254,45304,51080,48093,48106,19.06631706
259,45862,51619,48685,48705,16.5727516
268,47079,52777,49788,49809,14.30979694
281,48781,54289,51366,51407,16.93834136
288,49824,55036,52250,52293,18.01613534
297,51278,56115,53369,53443,15.45641453
307,52914,57732,55134,55186,19.4104242
316,54740,59233,56892,56916,12.32805395
323,56169,60645,58294,58318,32.11082894
333,57822,63441,60430,60485,36.43644338
338,58675,64721,61529,61569,28.52692363
345,59853,66462,63033,63060,39.28683547
352,61289,67857,64567,64557,39.86469088
359,62749,69172,66092,66061,47.52313843
364,63938,70167,67184,67143,41.17117246
371,65703,71402,68716,68666,26.01615082
377,67514,72351,70004,69982,24.54353697
386,69333,74226,71792,71794,11.09439085
391,70145,75366,72673,72694,15.83183163
394,70667,75942,73231,73251,6.719095027
406,72668,78422,75434,75463,10.67541821
411,73606,79327,76361,76380,6.257763034
420,75311,80893,78054,78058,5.791845216
425,76442,81749,78941,78978,3.880920394
435,78539,83898,80942,81028,3.391014533
444,80326,86607,83263,83310,5.791845216
453,82320,88909,85541,85534,4.36588268
458,83386,90079,86788,86773,8.519892684
465,85016,91618,88541,88504,8.076243242
468,86042,92113,89307,89255,4.36588268
480,89682,94636,92283,92261,4.845975845
485,90521,96428,93384,93407,2.896089123
494,92202,99029,95395,95462,1.890867873
500,93232,100799,96715,96813,4.845975845
512,95582,103678,99412,99492,3.880920394
524,98026,106754,102180,102217,3.391014533
536,100703,109369,104922,104948,4.36588268
545,102715,111484,106998,107008,3.391014533
548,103497,111971,107683,107686,1.890867873
557,105851,113705,109715,109723,1.890867873
564,107796,115182,111283,111328,3.880920394
574,111155,117349,113492,113691,1.890867873
586,114823,122359,118452,118489,1.890867873
588,115568,122967,119337,119320,3.391014533
596,119075,125670,122776,122664,1.890867873
607,123389,129762,126436,126474,2.896089123
615,125128,132770,128762,128831,6.719095027
629,128843,136854,132979,132939,12.32805395
634,130396,138035,134502,134433,16.20392937
638,131831,138920,135662,135594,24.84273102
643,133755,140047,137133,137058,29.58893434
651,136893,141988,139362,139389,29.58893434
653,137322,142916,139973,139998,33.06971865
660,138616,146262,141984,142124,41.71387535
668,140556,149387,144477,144596,32.5936838
673,141675,151255,146083,146152,26.58922683
682,143873,154235,148846,148916,21.08798215
691,146274,157101,151608,151630,27.70915101
699,148555,159359,154116,154057,25.72624441
713,152832,163182,158449,158331,27.70915101
720,154821,165056,160650,160461,20.42541017
728,157742,166837,163116,162902,20.75808114
733,159497,167892,164652,164426,15.07763347
745,162836,170914,167723,167515,19.06631706
754,164417,173459,169458,169351,30.61984652
