est_depth,median,mean,min,max,d13C_C30_AA
16,439,441,165,756,-30.2
20,563,562,255,878,-29.7
30,873,871,646,1090,-30.5
33,972,972,776,1166,-29.9
37,1092,1097,871,1349,-30.3
46,1367,1372,1080,1690,-29.7
50,1501,1500,1165,1814,-30.6
54,1629,1623,1297,1907,-30.5
120,4285,4279,3796,4741,-29.8
129,4683,4667,4234,5008,-29.9
179,6103,6096,5753,6408,-30.9
182,6199,6193,5874,6485,-30
205,6973,6993,6586,7504,-30.5
208,7086,7100,6661,7611,-30.3
212,7234,7242,6767,7763,-30.9
239,8216,8201,7686,8633,-30.3
271,9279,9282,8939,9622,-30.6
287,9771,9767,9494,10008,-30.1
329,11483,11479,11253,11700,-29.6
341,11827,11832,11645,12044,-30.4
362,12706,12707,12378,13046,-28.9
365,12901,12885,12466,13225,-29
369,13125,13121,12869,13332,-28.9
392,14134,14134,13712,14554,-30.1
397,14354,14357,14004,14709,-29.7
498,17044,17054,16808,17329,-29.2
727,21866,21864,21567,22131,-31.2
732,21956,21951,21657,22222,-31.9
737,22033,22032,21738,22315,-30.5
743,22122,22126,21841,22426,-31.5
818,23756,23754,23429,24033,-31.3
823,23868,23865,23531,24148,-31.4
