depth_cm,min,max,median,mean,grass_pc
17,-54,104,-1,6,59.87363881
40,-13,240,76,86,61.7625876
77,61,432,206,216,57.87083558
123,242,744,460,469,49.48873315
153,417,953,677,680,41.12733154
175,558,1107,838,836,36.61628032
202,742,1283,1037,1030,32.10005391
232,931,1466,1255,1242,22.45865229
266,1498,5162,2750,2907,23.05207547
304,10921,12482,11752,11748,20.44032345
364,11746,12984,12512,12498,25.47752022
379,11830,13061,12583,12567,18.41681941
398,11907,13156,12667,12653,9.430943396
417,11993,13257,12756,12740,9.405067385
557,12667,13940,13403,13377,2.813584906
575,12749,14022,13483,13459,4.707708895
598,12847,14129,13590,13564,1.476657682
621,12954,14236,13697,13668,2.725606469
636,13025,14311,13770,13736,2.06490566
651,13087,14378,13838,13805,1.404204852
666,13161,14449,13907,13873,0.743504043
677,13214,14496,13960,13923,2.647978437
696,13299,14579,14042,14008,1.342102426
719,13396,14681,14151,14113,0.671051213
742,13505,14785,14254,14217,5.12
757,13569,14856,14324,14286,6.379299191
772,13636,14925,14391,14354,5.718598383
779,13671,14962,14422,14387,1.868247978
809,13816,15105,14561,14525,5.666846361
821,13880,15168,14620,14583,9.491320755
828,13910,15199,14653,14617,28.68097035
840,13970,15264,14710,14676,52.98544474
858,14058,15365,14800,14763,76.63956873
881,14172,15485,14912,14876,87.48851752
904,14283,15600,15021,14988,77.21746631
923,14373,15702,15112,15080,9.991590296
945,14471,15821,15219,15189,55.40053908
964,14557,15915,15308,15280,46.41466307
975,14609,15972,15362,15334,53.43913747
991,14673,16054,15436,15408,61.73843666
1006,15264,19289,16586,16779,66.83773585
1025,17291,26088,20819,21032,89.21185984
1043,20183,30356,25044,25089,71.26598383
1062,24310,34121,29431,29380,61.64010782
1081,29633,37540,33635,33593,73.13423181
1096,30625,38418,34598,34517,43.033531
1104,30687,38484,34662,34582,23.82318059
1119,30804,38601,34788,34704,12.28247978
1126,30877,38665,34838,34761,19.31212938
1153,31105,38890,35048,34982,61.51590296
1164,31185,38976,35132,35071,42.30037736
1183,31345,39126,35281,35226,10.27450135
1194,31420,39211,35373,35315,8.978975741
1202,31496,39267,35437,35379,8.968625337
1213,31602,39364,35525,35467,10.23309973
1221,31666,39437,35594,35532,7.022749326
1232,31759,39509,35678,35622,5.08722372
1243,31869,39614,35766,35710,12.11169811
1255,31951,39696,35869,35806,6.976172507
1262,32008,39771,35922,35862,12.0858221
1277,32120,39888,36049,35985,9.505121294
1292,32258,40021,36178,36108,13.96442049
1304,32344,40117,36273,36206,17.78889488
1308,32373,40136,36305,36238,8.183719677
1315,32416,40198,36364,36295,4.973369272
1330,32508,40332,36477,36416,5.592668464
1342,32664,40414,36572,36515,7.497142857
1353,32756,40488,36659,36604,6.201617251
1360,32786,40536,36720,36660,6.831266846
1372,32872,40658,36814,36757,4.25574124
1379,32930,40742,36868,36813,3.605390836
1394,33030,40840,36983,36933,1.024690027
1402,33102,40940,37049,36998,5.494339623
