depth_cm,min,max,median,age_calBP,grass_drylandpc
0,-54,-25,-40,-40,12.24090541
2,-27,449,102,102,10.03461202
9,19,2159,593,593,15.61214621
20,336,3614,1586,1586,6.747437012
31,991,4637,2556,2556,20.1038385
49,2192,6109,4166,4166,6.811735001
68,4016,7197,5869,5869,20.18795568
77,5064,7579,6656,6656,11.31827149
78,5143,7627,6750,6750,13.54434493
101,7778,9015,8238,8238,4.704398105
109,7967,9631,8606,8606,8.055858862
123,8383,10375,9260,9260,12.53271917
141,8999,11293,10107,10107,2.572269471
152,9462,11737,10653,10653,3.707560269
177,10805,12544,11842,11842,3.76202819
213,12868,15339,13758,13758,10.5095117
233,13691,17267,15137,15137,9.443466957
256,14781,19184,16770,16770,5.050701809
267,15409,20021,17554,17554,10.32082922
289,16652,21563,19077,19077,10.34550839
305,17743,22594,20215,20215,4.807502468
327,19290,23926,21824,21824,4.832181639
351,21020,25269,23510,23510,0.001
373,22838,26270,25064,25064,1.549851925
391,24328,27000,26272,26272,0.001
429,25773,28894,27601,27601,3.835143139
454,26650,29898,28444,28444,0.001
471,27163,30620,29017,29017,0.001
487,27717,31260,29567,29567,3.899308983
526,28950,32684,30942,30942,7.275419546
546,29565,33392,31605,31605,0.631786772
564,30111,33960,32122,32122,0.651530109
590,30863,34828,32861,32861,1.791707799
609,31404,35387,33406,33406,0.001
658,32859,36924,34815,34815,0.001
663,33026,37075,34949,34949,8.53899309
702,34190,38220,36086,36086,0.001
768,36244,40264,38196,38196,0.001
781,36619,40730,38671,38671,8.439231488
805,37382,41527,39557,39557,0.001
871,39503,44268,41957,41957,0.001
888,39969,45116,42512,42512,2.122408687
916,40748,46573,43539,43539,0.001
937,41510,47860,44470,44470,2.176702863
969,42795,49825,46043,46043,0.001
