depth,min,max,median,mean,Guano_d13C
0,9079,11398,10428,10380,-26.7
2.5,9255,11488,10587,10536,-27.1
7.5,9519,11634,10871,10806,-27.2
12.5,10017,11843,11151,11100,
17.5,10461,12008,11433,11384,-27.3
22.5,10905,12176,11709,11671,-27.1
27.5,11543,12317,11965,11963,-27.3
32.5,11970,12475,12173,12198,-26.8
37.5,12077,12844,12356,12388,-26.9
42.5,12181,13226,12520,12563,-27.3
47.5,12277,13598,12672,12741,-27.1
52.5,12381,13992,12823,12916,-26.9
57.5,12497,14322,12985,13090,-26.39235484
62.5,12608,14632,13148,13265,-26.80902576
67.5,12715,14974,13288,13435,-26.84217152
72.5,12840,15293,13425,13599,-26.8703489
77.5,12971,15599,13550,13764,-26.62799562
82.5,13112,15918,13684,13934,-27.06698345
87.5,13239,16353,13813,14113,-27.23034751
92.5,13401,16729,13911,14293,-26.50591071
97.5,13572,17070,13992,14474,-26.70241349
102.5,13796,17370,14241,14707,-26.12296809
107.5,14030,17699,14967,15142,-26.68202629
112.5,14317,18104,15531,15716,-26.72091985
117.5,14727,18513,16199,16317,-26.47115858
122.5,15307,18939,16885,16957,-27.0386024
127.5,15815,19327,17545,17568,-27.07193194
132.5,16396,19657,18172,18141,-27.20068854
137.5,17145,20031,18802,18753,-26.62183821
142.5,18012,20379,19423,19364,-26.2729094
147.5,18835,20677,19998,19932,-26.77591388
152.5,19858,20903,20491,20459,-26.3838723
157.5,20588,21184,20915,20901,-26.54285156
162.5,20836,21741,21233,21251,-25.90989812
167.5,21049,22197,21563,21582,-25.3022769
172.5,21277,22648,21885,21902,-25.01121066
177.5,21491,22924,22217,22219,-25.17448877
182.5,21815,23232,22566,22550,-25.42758784
187.5,22124,23476,22899,22872,-25.74608804
192.5,22487,23686,23223,23186,-25.8669323
197.5,22998,23862,23529,23495,-24.7765744
202.5,23425,24102,23824,23791,-24.69782362
207.5,23627,24468,24067,24068,-24.7156455
212.5,23846,24817,24320,24325,-24.33903577
217.5,24084,25104,24580,24582,-25.92439078
222.5,24393,25360,24828,24841,-25.97874606
227.5,24792,25715,25142,25180,-20.22815655
232.5,25157,27073,25840,25914,-22.59411478
237.5,25573,28453,26851,26884,-25.12412458
242.5,26192,29303,27739,27759,-23.08858891
247.5,26926,29812,28709,28633,-22.36473723
252.5,28032,30257,29633,29568,-22.87383593
257.5,29415,30775,30300,30280,-20.73384947
262.5,30158,31200,30729,30717,-23.13509789
267.5,30622,31501,31076,31072,-22.2527078
272.5,31052,31816,31377,31394,-20.02606543
